product_code,product_price,collected_timestamp
12490.0,1.1,2023-03-11 
22408.0,1.1,2023-03-11 
12526.0,2.0,2023-03-11 
12171.0,1.9,2023-03-11 
12510.0,2.69,2023-03-11 
12509.0,1.15,2023-03-11 
12094.0,1.5,2023-03-11 
12348.0,2.05,2023-03-11 
12347.0,2.05,2023-03-11 
12540.0,1.5,2023-03-11 
12020.0,1.75,2023-03-11 
12027.0,2.05,2023-03-11 
12457.0,1.15,2023-03-11 
12364.0,1.6,2023-03-11 
12362.0,1.6,2023-03-11 
12421.0,1.35,2023-03-11 
12420.0,1.35,2023-03-11 
34046.0,2.05,2023-03-11 
13571.0,1.4,2023-03-11 
12349.0,2.49,2023-03-11 
12022.0,2.2,2023-03-11 
36307.0,1.7,2023-03-11 
22754.0,1.95,2023-03-11 
12415.0,1.9,2023-03-11 
65732.0,2.9,2023-03-11 
12413.0,2.7,2023-03-11 
80466.0,2.2,2023-03-11 
36051.0,2.5,2023-03-11 
12426.0,3.5,2023-03-11 
12417.0,3.9,2023-03-11 
12418.0,3.9,2023-03-11 
12238.0,4.2,2023-03-11 
12157.0,5.29,2023-03-11 
86086.0,1.7,2023-03-11 
12288.0,5.99,2023-03-11 
86496.0,5.99,2023-03-11 
14221.0,2.2,2023-03-11 
67921.0,5.95,2023-03-11 
12471.0,3.25,2023-03-11 
86027.0,2.95,2023-03-11 
67416.0,1.95,2023-03-11 
22511.0,2.45,2023-03-11 
67409.0,3.19,2023-03-11 
67163.0,3.49,2023-03-11 
10286.0,2.75,2023-03-11 
67417.0,1.95,2023-03-11 
67164.0,3.49,2023-03-11 
22836.0,3.2,2023-03-11 
16883.0,3.2,2023-03-11 
23044.0,2.9,2023-03-11 
22510.0,3.05,2023-03-11 
65008.0,1.25,2023-03-11 
65044.0,1.0,2023-03-11 
65079.0,1.15,2023-03-11 
65077.0,1.1,2023-03-11 
67814.0,1.15,2023-03-11 
65088.0,0.95,2023-03-11 
65017.0,1.45,2023-03-11 
65064.0,1.75,2023-03-11 
65084.0,1.15,2023-03-11 
65070.0,1.25,2023-03-11 
65158.0,1.5,2023-03-11 
65043.0,1.25,2023-03-11 
86029.0,1.15,2023-03-11 
65059.0,2.15,2023-03-11 
65055.0,1.05,2023-03-11 
12472.0,1.15,2023-03-11 
65555.0,1.15,2023-03-11 
67808.0,5.0,2023-03-11 
65145.0,0.8,2023-03-11 
65097.0,1.15,2023-03-11 
23528.0,1.2,2023-03-11 
86288.0,1.65,2023-03-11 
86847.0,1.65,2023-03-11 
67736.0,1.65,2023-03-11 
15091.0,1.5,2023-03-11 
13441.0,1.4,2023-03-11 
15077.0,1.7,2023-03-11 
